1,20130516,78765123,M,,1,0,1,1,0
2,20130516,,F,20,0,0,1,1,0
3,20130624,,,,0,1,0,0,1
4,20130516,78765123,M,,1,1,1,1,0
5,20130516,78765293,F,,0,0,0,1,0
6,20130516,78375123,F,,1,1,0,0,1
7,20130516,78765123,M,,1,1,0,1,0
8,20130516,72865123,F,,0,0,1,1,1
9,20130516,llcckk,M,30,1,4,5
10,20130516,,F,20,3,4
11,20130624,,,,5
12,20130516,71935123,M,,1,3,4
13,20130516,78765123,M,,2
14,20130516,12654789,M,30,1
14,20130516,12654789,M,30,4
15,20130516,,F,20,3
15,20130516,,F,20,4
16,20130728,,,3,3
17,20130728,,,3,1
17,20130728,,,3,2
17,20130728,,,3,4
17,20130728,,,3,5
18,20130624,,,,5

